Tên khoa học,URL ảnh,Tác giả,Nguồn
Sterna acuticauda,https://inaturalist-open-data.s3.amazonaws.com/photos/252796770/large.jpg,"(c) shyamkumar puravankara, some rights reserved (CC BY-NC), uploaded by shyamkumar puravankara",https://www.inaturalist.org/photos/252796770
Strix leptogrammica,https://inaturalist-open-data.s3.amazonaws.com/photos/57850672/medium.jpg,"(c) John Clough, some rights reserved (CC BY-NC), uploaded by John Clough",https://www.inaturalist.org/observations/36585365
Strix nivicola,https://inaturalist-open-data.s3.amazonaws.com/photos/262036068/medium.jpg,"(c) Sourav Halder, some rights reserved (CC BY-NC), uploaded by Sourav Halder",https://www.inaturalist.org/observations/151832026
Trachypithecus delacouri,https://inaturalist-open-data.s3.amazonaws.com/photos/345368411/large.jpg,"(c) Royle Safaris, some rights reserved (CC BY-NC), uploaded by Royle Safaris",https://www.inaturalist.org/observations/196204076
Tragulus kanchil,https://inaturalist-open-data.s3.amazonaws.com/photos/3350022/medium.jpg,"(c) Julien Renoult, some rights reserved (CC BY), uploaded by Julien Renoult",https://www.inaturalist.org/observations/2924982
Trochalopteron squamatus,https://inaturalist-open-data.s3.amazonaws.com/photos/108809804/large.jpg,"(c) Kelvin Joshua Che, some rights reserved (CC BY-NC), uploaded by Kelvin Joshua Che",https://www.inaturalist.org/observations/67358099
Trochalopteron subunicolor,https://inaturalist-open-data.s3.amazonaws.com/photos/8889377/medium.jpeg,"(c) markus lilje, some rights reserved (CC BY-NC-ND), uploaded by markus lilje",https://www.inaturalist.org/observations/6952805
Tyto longimembris,https://inaturalist-open-data.s3.amazonaws.com/photos/236742106/medium.jpg,"(c) Kelvin Joshua Che, some rights reserved (CC BY-NC), uploaded by Kelvin Joshua Che",https://www.inaturalist.org/observations/138500857
Varanus nebulosus,https://inaturalist-open-data.s3.amazonaws.com/photos/9405059/medium.jpg,"(c) budak, some rights reserved (CC BY-NC), uploaded by budak",https://www.inaturalist.org/observations/7274504
Varanus salvator,https://inaturalist-open-data.s3.amazonaws.com/photos/522041853/large.jpg,"(c) Anton Dangl, some rights reserved (CC BY-NC), uploaded by Anton Dangl",https://www.inaturalist.org/observations/290215328
Vulpes vulpes,https://inaturalist-open-data.s3.amazonaws.com/photos/6568074/medium.jpg,"(c) Joanne Muis, some rights reserved (CC BY-NC), uploaded by Joanne Muis",https://www.inaturalist.org/observations/5305215
Xanthonycticebus pygmaeus,https://inaturalist-open-data.s3.amazonaws.com/photos/146091/medium.jpg,"(c) Josh More, some rights reserved (CC BY-NC-ND)",https://www.flickr.com/photos/41837219@N00/3142516969
